JA Morkel:L Balaji:119:1:1.0
T Thushara:RJ Harris:117:-1:1.0
V Sehwag:CH Gayle:6:-1:1.0
Shivam Sharma:MA Starc:118:-1:1.0
NK Patel:CK Langeveldt:56:-1:1.0
CK Kapugedera:DS Kulkarni:53:-1:1.0
A Singh:AB Agarkar:119:1:1.0
M Kartik:MM Patel:120:-1:1.0
RE Levi:GB Hogg:50:-1:1.0
MJ Lumb:SL Malinga:2:-1:1.0
Iqbal Abdulla:MF Maharoof:118:1:1.0
SK Warne:JA Morkel:120:1:1.0
A Symonds:JA Morkel:107:1:1.0
MC Henriques:UT Yadav:119:1:1.0
S Nadeem:SP Narine:120:-1:1.0
KW Richardson:MG Johnson:105:-1:1.0
PC Valthaty:R Sharma:46:-1:1.0
Umar Gul:P Kumar:96:0:1.0
B Chipli:MM Patel:19:-1:1.0
J Theron:L Balaji:115:-1:1.0
B Lee:RP Singh:119:0:1.0
AM Nayar:Sohail Tanvir:99:-1:1.0
PP Ojha:Sohail Tanvir:120:0:1.0
JH Kallis:SB Jakati:93:-1:1.0
MM Patel:A Nehra:96:0:1.0
A Mukund:SK Trivedi:48:-1:1.0
LRPL Taylor:PJ Sangwan:86:-1:1.0
CH Gayle:KV Sharma:31:-1:1.0
AN Ghosh:R Vinay Kumar:26:-1:1.0
MDKJ Perera:UT Yadav:18:-1:1.0
SP Narine:RA Jadeja:105:-1:1.0
BAW Mendis:R Vinay Kumar:118:1:1.0
CJ Anderson:YS Chahal:58:-1:1.0
P Negi:GS Sandhu:120:1:1.0
GR Napier:CH Gayle:95:-1:1.0
L Balaji:CH Morris:119:1:1.0
J Suchith:B Kumar:120:2:1.0
SL Malinga:MA Starc:116:1:1.0
DJG Sammy:JP Faulkner:98:-1:1.0
JR Hopes:AB Dinda:23:-1:1.0
KP Pietersen:Shakib Al Hasan:33:-1:1.0
CJ Ferguson:KA Pollard:53:-1:1.0
DL Vettori:IK Pathan:108:-1:1.0
PR Shah:RP Singh:116:-1:1.0
X Thalaivan Sargunam:DJ Bravo:93:-1:1.0
M Manhas:WA Mota:94:-1:1.0
A Mishra:SL Malinga:112:-1:1.0
RA Jadeja:Z Khan:120:4:1.0
Harmeet Singh:SP Narine:118:-1:1.0
YV Takawale:SR Watson:120:4:1.0
AN Ahmed:B Kumar:119:-1:1.0
BMAJ Mendis:DJG Sammy:89:-1:1.0
Y Venugopal Rao:Sohail Tanvir:119:0:1.0
JP Duminy:DW Steyn:96:-1:1.0
RR Raje:SR Watson:116:1:1.0
DJ Hussey:MF Maharoof:115:-1:1.0
MG Johnson:MA Starc:120:4:1.0
SV Samson:AD Russell:77:-1:1.0
M Vohra:L Balaji:52:-1:1.0
PD Collingwood:CK Langeveldt:116:-1:1.0
TL Suman:S Tyagi:117:1:1.0
CH Morris:UT Yadav:120:-1:1.0
S Gopal:CH Morris:119:1:1.0
DB Ravi Teja:SL Malinga:110:-1:1.0
R Sathish:SR Watson:114:0:1.0
IK Pathan:P Kumar:120:0:1.0
AC Gilchrist:R Ashwin:28:-1:1.0
M Morkel:DR Smith:117:1:1.0
ST Jayasuriya:SK Trivedi:66:-1:1.0
BB Samantray:JP Faulkner:111:-1:1.0
D Wiese:MM Sharma:110:-1:1.0
DR Martyn:P Kumar:98:-1:1.0
Anureet Singh:Imran Tahir:120:6:1.0
A Uniyal:DP Nannes:119:1:1.0
A Chopra:PJ Sangwan:36:-1:1.0
LMP Simmons:DW Steyn:75:-1:1.0
D du Preez:A Singh:116:-1:1.0
PV Tambe:MA Starc:120:1:1.0
RE van der Merwe:P Awana:20:-1:1.0
KV Sharma:K Cooper:119:-1:1.0
Mohammad Ashraful:PJ Sangwan:27:-1:1.0
S Narwal:UT Yadav:110:-1:1.0
B Akhil:JA Morkel:117:1:1.0
TD Paine:MM Patel:26:-1:1.0
KB Arun Karthik:NLTC Perera:108:-1:1.0
KA Pollard:RJ Harris:120:-1:1.0
SR Watson:UT Yadav:118:1:1.0
NLTC Perera:K Cooper:120:-1:1.0
R McLaren:SW Tait:115:-1:1.0
VR Aaron:SP Narine:119:1:1.0
GC Smith:M Muralitharan:74:-1:1.0
AA Chavan:UT Yadav:118:1:1.0
RV Uthappa:KA Pollard:91:-1:1.0
RG More:AD Russell:119:1:1.0
AC Blizzard:AC Thomas:15:-1:1.0
DJ Muthuswami:D Wiese:110:-1:1.0
MEK Hussey:L Balaji:66:-1:1.0
JDP Oram:DP Nannes:104:-1:1.0
MJ McClenaghan:B Kumar:117:1:1.0
SS Tiwary:PP Ojha:100:-1:1.0
NM Coulter-Nile:UT Yadav:115:1:1.0
RJ Harris:JH Kallis:120:1:1.0
DJ Bravo:PP Ojha:54:-1:1.0
Azhar Mahmood:DJ Bravo:72:-1:1.0
BJ Hodge:Z Khan:108:-1:1.0
Parvez Rasool:AN Ahmed:118:1:1.0
B Kumar:PP Ojha:104:-1:1.0
GJ Bailey:JA Morkel:70:-1:1.0
B Sumanth:JH Kallis:115:1:1.0
R Dravid:DS Kulkarni:10:-1:1.0
Y Nagar:B Lee:102:-1:1.0
SK Trivedi:DJ Bravo:98:-1:1.0
RP Singh:Sohail Tanvir:115:-1:1.0
SB Styris:YK Pathan:74:-1:1.0
PJ Sangwan:IK Pathan:119:1:1.0
SJ Srivastava:WD Parnell:119:1:1.0
DS Lehmann:MF Maharoof:46:-1:1.0
LA Carseldine:SK Raina:99:1:1.0
Yuvraj Singh:A Ashish Reddy:97:-1:1.0
P Dogra:SP Narine:103:-1:1.0
SN Thakur:Imran Tahir:119:1:1.0
IR Jaggi:SK Warne:61:-1:1.0
MS Dhoni:Z Khan:109:-1:1.0
TM Dilshan:S Sreesanth:55:-1:1.0
CA Lynn:VR Aaron:69:-1:1.0
GH Vihari:SK Trivedi:63:-1:1.0
RV Gomez:DP Nannes:112:-1:1.0
JJ Bumrah:MA Starc:119:1:1.0
S Anirudha:SL Malinga:120:2:1.0
Z Khan:AB Dinda:104:-1:1.0
A Kumble:YA Abdulla:115:-1:1.0
MC Juneja:Harmeet Singh:81:-1:1.0
Jaskaran Singh:S Sreesanth:120:2:1.0
SW Tait:P Parameswaran:110:1:1.0
R Ashwin:S Aravind:113:-1:1.0
SA Abbott:TA Boult:111:-1:1.0
CL White:KA Pollard:119:1:1.0
NJ Rimmington:WD Parnell:119:1:1.0
YK Pathan:DJ Bravo:48:-1:1.0
D Kalyankrishna:IK Pathan:115:-1:1.0
AM Rahane:Azhar Mahmood:42:-1:1.0
R Bishnoi:YA Abdulla:28:-1:1.0
PA Reddy:A Chandila:5:-1:1.0
KM Jadhav:B Kumar:120:4:1.0
D Salunkhe:GD McGrath:120:0:1.0
Mashrafe Mortaza:A Symonds:120:0:1.0
