JA Morkel:RP Singh:120:1:1.0
T Thushara:SL Malinga:120:1:1.0
V Sehwag:Shoaib Akhtar:2:-1:1.0
NK Patel:CRD Fernando:120:2:1.0
GB Hogg:MM Patel:118:-1:1.0
GD McGrath:DS Kulkarni:113:-1:1.0
CK Kapugedera:VY Mahesh:110:-1:1.0
A Singh:KA Pollard:107:-1:1.0
CRD Fernando:DE Bollinger:120:1:1.0
M Kartik:AB McDonald:119:-1:1.0
RE Levi:DW Steyn:24:-1:1.0
MJ Lumb:WPUJC Vaas:65:1:1.0
Iqbal Abdulla:R Vinay Kumar:118:1:1.0
SK Warne:BA Bhatt:119:1:1.0
A Symonds:R McLaren:71:-1:1.0
MC Henriques:GB Hogg:85:-1:1.0
S Nadeem:AB Dinda:119:-1:1.0
Kamran Khan:A Kumble:91:-1:1.0
KW Richardson:CH Morris:112:-1:1.0
PC Valthaty:A Mishra:96:-1:1.0
Umar Gul:Sohail Tanvir:111:-1:1.0
B Chipli:R Bhatia:84:-1:1.0
J Theron:Azhar Mahmood:118:1:1.0
B Lee:RP Singh:118:-1:1.0
AM Nayar:SR Watson:117:1:1.0
A Flintoff:A Nehra:96:-1:1.0
PP Ojha:WD Parnell:114:0:1.0
JH Kallis:S Nadeem:110:1:1.0
MM Patel:AB Dinda:120:1:1.0
DE Bollinger:SL Malinga:114:0:1.0
LRPL Taylor:JE Taylor:115:0:1.0
CH Gayle:R Bhatia:49:-1:1.0
AN Ghosh:AM Nayar:75:-1:1.0
SP Narine:P Kumar:120:0:1.0
BAW Mendis:SL Malinga:91:-1:1.0
CJ Anderson:R Dhawan:100:-1:1.0
P Negi:MA Starc:111:1:1.0
L Balaji:RP Singh:107:-1:1.0
J Suchith:Anureet Singh:120:0:1.0
SL Malinga:WD Parnell:113:-1:1.0
AS Rajpoot:MM Patel:120:0:1.0
Sachin Baby:A Mishra:95:-1:1.0
Abdur Razzak:Sohail Tanvir:114:0:1.0
DJG Sammy:MA Starc:118:2:1.0
JR Hopes:DT Christian:116:1:1.0
KP Pietersen:Z Khan:111:1:1.0
CJ Ferguson:RJ Harris:102:0:1.0
DL Vettori:Azhar Mahmood:116:1:1.0
PR Shah:RP Singh:120:1:1.0
M Manhas:BJ Hodge:59:-1:1.0
S Sriram:PP Chawla:68:-1:1.0
A Mishra:LR Shukla:104:-1:1.0
RA Jadeja:YK Pathan:115:6:1.0
Harmeet Singh:DW Steyn:113:1:1.0
YV Takawale:SK Warne:61:-1:1.0
AN Ahmed:A Mithun:120:0:1.0
BMAJ Mendis:RA Jadeja:62:-1:1.0
JE Taylor:JA Morkel:114:2:1.0
JP Duminy:SL Malinga:93:-1:1.0
JEC Franklin:DT Christian:117:0:1.0
DJ Hussey:UT Yadav:81:-1:1.0
MG Johnson:R Vinay Kumar:120:-1:1.0
SV Samson:A Mishra:71:-1:1.0
M Vohra:Imran Tahir:38:-1:1.0
PD Collingwood:WPUJC Vaas:119:0:1.0
TL Suman:DW Steyn:11:-1:1.0
CH Morris:DW Steyn:114:0:1.0
DB Ravi Teja:JD Unadkat:103:-1:1.0
R Sathish:DJ Bravo:119:-1:1.0
IK Pathan:PP Ojha:97:-1:1.0
AC Gilchrist:Z Khan:37:-1:1.0
M Morkel:CH Morris:120:1:1.0
ST Jayasuriya:SR Watson:45:-1:1.0
BB Samantray:Azhar Mahmood:97:-1:1.0
D Wiese:AD Russell:55:1:1.0
Anureet Singh:MA Starc:52:-1:1.0
A Uniyal:SL Malinga:116:-1:1.0
A Chopra:JR Hopes:93:-1:1.0
LMP Simmons:DJ Muthuswami:26:-1:1.0
PV Tambe:DW Steyn:119:1:1.0
RE van der Merwe:L Balaji:101:-1:1.0
KV Sharma:NM Coulter-Nile:120:-1:1.0
S Narwal:PD Collingwood:81:-1:1.0
B Akhil:LPC Silva:114:6:1.0
TD Paine:S Aravind:31:-1:1.0
KB Arun Karthik:Iqbal Abdulla:66:-1:1.0
KA Pollard:DT Christian:98:-1:1.0
SR Watson:NLTC Perera:81:-1:1.0
NLTC Perera:MS Gony:64:-1:1.0
R McLaren:L Balaji:112:1:1.0
VR Aaron:L Balaji:120:6:1.0
GC Smith:RP Singh:93:-1:1.0
AA Chavan:KA Pollard:105:-1:1.0
RV Uthappa:WD Parnell:71:-1:1.0
AC Blizzard:JP Duminy:13:-1:1.0
MEK Hussey:L Balaji:101:-1:1.0
JDP Oram:RA Jadeja:109:1:1.0
MJ McClenaghan:Imran Tahir:100:-1:1.0
SS Tiwary:RV Gomez:106:-1:1.0
NM Coulter-Nile:Azhar Mahmood:110:-1:1.0
RJ Harris:R McLaren:93:-1:1.0
DJ Bravo:JH Kallis:113:1:1.0
Azhar Mahmood:JP Faulkner:100:-1:1.0
BJ Hodge:DW Steyn:103:-1:1.0
Parvez Rasool:L Balaji:117:-1:1.0
B Kumar:AD Russell:120:0:1.0
GJ Bailey:Imran Tahir:111:-1:1.0
B Sumanth:DE Bollinger:108:-1:1.0
R Dravid:A Mishra:45:-1:1.0
Y Nagar:DT Christian:117:-1:1.0
SK Trivedi:DW Steyn:120:0:1.0
RP Singh:DW Steyn:99:-1:1.0
SB Styris:MF Maharoof:105:-1:1.0
PJ Sangwan:LR Shukla:105:-1:1.0
SJ Srivastava:SW Tait:115:-1:1.0
DS Lehmann:IK Pathan:68:-1:1.0
JJ van der Wath:TG Southee:120:1:1.0
JM Kemp:PP Ojha:60:-1:1.0
LA Carseldine:A Kumble:52:-1:1.0
Yuvraj Singh:BJ Hodge:68:-1:1.0
RS Gavaskar:JM Kemp:75:-1:1.0
P Dogra:R Vinay Kumar:118:1:1.0
DP Nannes:Harbhajan Singh:99:-1:1.0
IR Jaggi:Iqbal Abdulla:15:-1:1.0
MS Dhoni:JH Kallis:67:1:1.0
AC Voges:Z Khan:86:-1:1.0
CA Lynn:AR Patel:67:-1:1.0
GH Vihari:PP Chawla:70:-1:1.0
K Upadhyay:L Balaji:116:1:1.0
RV Gomez:I Sharma:9:-1:1.0
Mohammad Asif:DS Kulkarni:109:-1:1.0
S Anirudha:Harbhajan Singh:96:-1:1.0
Z Khan:DE Bollinger:117:-1:1.0
A Kumble:RJ Harris:116:1:1.0
SE Bond:R Ashwin:85:-1:1.0
MC Juneja:K Cooper:108:-1:1.0
Jaskaran Singh:Harbhajan Singh:108:0:1.0
SW Tait:V Sehwag:106:-1:1.0
R Ashwin:SP Narine:27:-1:1.0
SA Abbott:YK Pathan:95:1:1.0
CL White:I Sharma:83:1:1.0
YK Pathan:CRD Fernando:31:-1:1.0
